id;source;name;neighbourhood_group_cleansed;property_type;room_type;accommodates;bathrooms;bedrooms;beds;price
48154;city scrape;Precioso apartamento con wifi;LA SAIDIA;Entire rental unit;Entire home/apt;4;1;2;2;82
137143;city scrape;PENTHOUSE  ON FRONT LINE BEACH;POBLATS DEL SUD;Entire rental unit;Entire home/apt;7;1.5;1;14;390
149715;city scrape;1900 Style Valencian Beach  Home for 10px;POBLATS MARITIMS;Entire home;Entire home/apt;10;4;5;7;286
165971;city scrape;★ Architectural touch! ★;EXTRAMURS;Entire rental unit;Entire home/apt;5;1;1;1;122
169284;city scrape;Apartment near downtown;L'OLIVERETA;Entire rental unit;Entire home/apt;3;1;1;1;49
182221;city scrape;Apartments Calatrava City Valencia;CAMINS AL GRAU;Entire rental unit;Entire home/apt;5;1;2;5;180
192674;city scrape;Modern 2 br in El Carmen -  Parking Available;CIUTAT VELLA;Entire rental unit;Entire home/apt;5;2;2;4;113
193326;city scrape;Hab. con balcón, cerca de la playa;POBLATS MARITIMS;Private room in rental unit;Private room;2;1;1;2;49
225070;city scrape;Habitación cerca de la playa, El Cabanyal;POBLATS MARITIMS;Private room in rental unit;Private room;1;1;1;3;57
250981;city scrape;Apartment Ciudad de Valencia;CAMINS AL GRAU;Entire rental unit;Entire home/apt;5;1;2;3;287
253764;city scrape;Sea view apartment with terrace at Cabanyal beach;POBLATS MARITIMS;Entire rental unit;Entire home/apt;5;2;2;4;225
260929;city scrape;Queen size bed & private shower by Miguel Inn;EL PLA DEL REAL;Private room in rental unit;Private room;2;1;1;1;49
260935;city scrape;Double room, shared bathroom, good water;EL PLA DEL REAL;Private room in rental unit;Private room;2;1;1;1;42
265340;city scrape;Design apartment in the center WIFI;L'EIXAMPLE;Entire loft;Entire home/apt;2;1;1;1;90
273373;city scrape;Malvabeach family house, WiFi, pool, front beach;POBLATS MARITIMS;Entire townhouse;Entire home/apt;10;2;4;14;405
276455;city scrape;Great Room in an apartment,Valencia;ALGIROS;Private room in rental unit;Private room;1;2;1;1;38
